100 5000
27 7 12
55 3 8
10 15 9
5 35 19
15 65 18
51 40 8
81 8 7
31 60 13
73 27 9
90 47 14
20 35 9
9 64 4
90 59 3
14 55 11
27 8 9
50 41 13
22 49 6
76 67 16
79 78 20
93 9 15
67 42 8
20 17 15
94 70 18
36 59 20
54 60 19
91 42 9
84 78 16
89 7 13
60 36 18
95 14 17
64 11 7
3 92 17
45 15 20
17 45 15
43 10 15
21 25 7
54 56 11
38 23 20
61 0 4
75 61 15
35 58 12
38 32 6
57 2 1
93 19 20
52 79 13
31 4 13
45 88 3
51 50 16
21 20 6
26 76 9
13 31 17
44 13 15
90 81 19
56 17 1
85 49 1
76 19 20
12 34 6
43 22 18
11 66 12
52 32 4
7 19 20
90 18 19
58 21 10
5 7 16
23 57 1
51 39 10
32 50 3
42 14 1
7 11 9
68 35 13
40 96 3
27 13 8
92 60 12
7 96 11
12 1 6
64 27 18
64 31 10
12 64 13
29 59 12
37 2 16
90 66 6
74 21 20
77 2 15
72 40 16
42 59 17
36 21 15
95 63 20
35 41 9
98 88 4
49 3 10
85 83 2
16 73 11
37 48 5
67 23 11
18 35 6
25 60 8
66 53 17
99 75 11
11 2 8
52 75 3
1 36 11
48 36 8
13 67 16
3 0 9
30 45 17
12 50 16
67 31 9
93 79 4
50 70 10
66 49 18
66 87 10
85 14 14
58 19 20
79 38 4
53 18 4
22 81 14
49 79 13
54 30 9
23 65 10
76 28 4
16 51 15
51 95 12
97 94 16
73 30 15
27 4 3
83 91 16
77 56 11
95 39 9
50 87 11
92 53 6
51 0 10
73 24 20
6 39 8
89 43 10
25 48 2
67 82 3
7 57 2
93 91 8
16 0 6
25 32 4
54 20 17
65 16 5
22 35 14
31 89 15
2 34 12
84 28 10
63 14 8
98 70 5
6 79 9
56 70 4
4 16 17
28 49 6
20 93 1
17 88 10
76 69 18
51 12 16
12 72 13
99 49 5
87 90 16
72 58 11
80 90 4
63 60 6
38 98 9
22 14 17
44 59 9
87 56 1
86 70 10
68 38 13
42 68 18
19 82 13
12 27 1
92 80 8
75 31 16
9 89 12
82 71 1
72 11 4
83 76 7
95 93 4
14 15 18
93 84 18
73 75 12
84 17 10
55 39 1
81 93 3
87 94 19
95 6 8
42 57 6
56 47 16
75 55 16
9 66 14
26 91 1
1 71 13
65 17 16
21 76 3
89 50 7
73 78 17
88 1 18
67 74 4
4 94 15
87 54 2
95 66 1
23 8 16
85 98 15
59 63 12
7 76 13
86 32 2
41 35 8
67 16 19
62 91 1
34 24 14
53 20 14
63 35 1
44 71 8
8 30 2
3 69 15
13 5 20
26 39 3
99 22 8
42 16 12
36 38 8
41 36 4
5 3 8
38 46 11
41 56 7
23 56 13
69 1 9
44 47 14
12 99 3
4 63 20
70 83 8
0 45 4
43 81 2
93 83 9
71 41 17
64 56 12
96 89 4
95 17 7
66 28 12
1 8 13
90 1 8
74 1 14
67 9 8
93 94 14
35 78 6
99 90 5
72 89 14
8 75 5
22 57 14
69 21 15
9 86 3
49 37 15
70 40 8
60 74 11
49 5 8
52 43 3
17 9 8
92 37 3
10 39 3
9 81 9
94 0 2
61 42 4
8 27 8
1 64 9
95 68 15
90 32 15
12 44 9
1 79 12
7 97 2
63 33 14
26 31 3
70 94 11
65 70 10
52 12 13
48 19 5
57 66 4
52 73 8
75 7 19
65 34 3
16 15 15
68 10 14
2 93 4
5 62 1
90 64 16
62 61 10
70 67 15
85 45 14
83 59 20
10 70 10
55 18 4
87 83 20
6 65 20
8 66 9
99 54 4
80 24 12
67 90 19
16 19 13
41 23 11
24 85 9
3 30 7
60 39 9
92 1 9
88 30 3
5 55 20
44 55 8
9 18 3
57 41 3
46 87 1
29 65 10
30 59 8
64 41 2
38 88 19
96 43 2
94 96 4
19 13 13
51 7 15
12 4 13
28 95 16
59 41 15
5 66 3
10 35 16
13 71 2
86 16 13
61 67 9
51 49 11
19 59 15
91 15 18
67 48 18
19 3 8
53 97 9
47 26 19
19 36 16
48 83 13
41 53 7
79 81 15
12 89 5
58 50 16
89 56 13
20 45 6
22 93 15
74 25 14
64 88 4
38 91 4
16 97 5
42 28 5
29 15 18
57 32 8
80 44 7
87 38 20
34 5 15
81 9 9
46 18 3
4 92 10
45 36 12
34 91 19
93 73 16
45 22 11
75 32 18
4 56 11
74 57 7
92 70 9
37 31 20
54 16 2
2 13 14
92 21 17
19 81 18
84 14 3
13 4 19
22 75 2
77 28 9
79 84 16
40 74 4
30 31 6
33 8 4
22 95 7
91 21 14
23 26 14
97 84 6
29 28 15
48 15 20
42 11 16
68 21 11
88 74 15
40 57 9
9 29 14
86 20 2
80 35 2
54 4 18
29 49 16
41 42 16
64 6 5
24 99 6
73 64 1
24 11 8
70 42 19
21 88 9
38 60 12
47 6 19
52 81 5
83 63 18
5 46 1
97 71 12
39 73 16
75 4 13
18 97 7
34 21 12
48 28 13
28 33 15
81 37 10
97 92 8
47 38 13
14 72 7
99 21 17
89 73 17
71 70 19
26 54 13
58 11 5
44 99 6
77 96 17
56 2 3
15 71 1
35 15 11
62 43 9
55 24 2
99 72 5
65 41 13
55 84 9
35 29 7
87 75 7
45 21 3
45 80 13
6 71 13
4 51 10
23 2 19
64 0 6
15 77 19
74 7 10
27 83 17
63 81 3
41 86 11
67 72 19
63 89 19
18 28 14
54 62 9
94 6 7
88 5 7
1 49 3
80 14 13
8 74 13
3 90 8
9 98 16
52 60 10
15 95 17
83 92 9
76 2 16
94 20 7
90 73 6
20 62 15
17 44 15
37 66 12
74 59 18
68 47 20
67 89 19
76 77 20
32 85 12
19 20 18
29 84 9
6 40 10
69 55 3
51 38 6
33 30 18
48 18 15
16 7 20
46 3 12
87 68 1
46 66 3
38 94 10
82 25 6
75 47 19
91 71 4
51 35 11
37 29 14
4 26 7
98 75 13
48 56 8
71 90 1
76 90 19
91 82 18
96 41 12
85 81 1
0 11 11
60 55 6
25 56 18
82 17 1
28 19 12
30 13 2
9 87 17
62 29 19
52 85 4
2 65 20
94 35 17
32 45 11
42 80 10
26 87 20
49 11 7
45 9 4
64 54 6
83 72 3
84 60 13
88 22 13
19 46 5
76 61 15
98 33 12
35 76 19
20 9 10
50 33 13
48 50 7
21 11 2
29 23 16
17 77 9
4 10 4
34 58 20
50 82 14
16 75 9
68 8 13
68 45 20
75 40 10
88 56 12
82 0 6
91 81 11
76 42 3
17 37 4
53 29 8
71 3 19
43 41 8
71 82 1
20 55 3
77 72 14
71 52 9
11 94 13
62 3 11
56 48 15
92 82 15
79 97 18
93 87 11
21 68 10
63 99 15
18 94 7
10 62 6
88 8 3
17 69 18
67 41 15
19 24 1
48 43 4
6 85 14
76 40 18
88 20 17
48 73 2
96 49 13
42 38 7
79 98 14
1 86 3
8 88 12
84 99 15
47 30 9
58 95 9
96 27 3
4 52 11
14 7 20
44 38 7
61 70 20
3 73 16
48 23 9
30 69 4
84 47 9
27 17 16
17 40 16
23 68 5
38 50 10
73 3 8
65 58 11
86 30 11
90 46 8
35 33 1
98 69 2
14 95 7
95 87 15
79 8 2
77 46 7
90 28 7
53 73 14
35 28 6
24 84 4
82 13 6
21 82 16
26 50 9
58 10 6
29 40 8
62 36 20
95 85 13
5 37 19
18 41 18
83 9 1
63 74 9
47 25 2
16 93 19
49 29 2
7 26 15
5 23 3
9 27 11
22 64 20
50 91 8
77 92 15
74 40 9
60 64 16
76 89 20
94 79 15
82 51 9
87 22 15
1 13 8
54 81 3
84 65 19
75 1 15
28 47 10
35 90 5
29 94 13
98 48 12
71 1 4
2 55 6
52 84 10
16 30 7
51 1 11
64 77 11
62 80 16
63 22 15
50 95 13
76 18 20
53 61 2
92 61 9
76 55 6
49 80 12
80 15 11
9 28 14
43 25 14
29 0 7
14 5 18
22 99 3
55 94 20
35 93 13
71 72 12
87 69 16
99 12 1
53 17 14
54 52 18
57 44 7
56 72 4
36 50 2
66 86 3
78 6 18
46 55 17
39 26 16
6 25 11
65 28 11
88 53 6
4 80 7
68 93 17
2 82 12
11 39 16
78 64 5
4 91 11
71 48 8
81 80 1
36 49 4
61 76 1
72 9 19
82 40 6
78 87 13
64 96 6
75 72 1
99 77 7
32 94 7
20 34 2
14 76 10
97 79 16
42 79 12
97 61 19
8 82 16
30 50 2
10 28 10
7 23 20
66 36 18
96 23 20
59 11 11
94 18 20
9 14 16
4 49 3
39 60 18
55 74 11
24 35 10
0 46 9
22 83 13
20 32 18
14 88 16
55 15 5
94 62 7
12 8 9
94 39 9
49 71 8
47 83 5
65 97 4
46 90 15
27 85 13
61 13 10
24 67 8
44 4 19
68 87 8
79 23 13
17 93 20
13 28 7
99 48 12
72 29 17
57 54 17
50 61 1
60 34 17
51 86 18
99 16 4
13 51 20
82 43 13
11 61 7
49 58 13
67 1 17
56 30 1
46 92 5
41 46 9
41 60 15
69 65 16
81 84 17
31 94 12
18 55 15
54 87 16
89 65 20
15 9 17
39 61 9
40 83 7
35 45 14
50 58 17
93 58 17
18 19 2
96 51 5
2 10 17
33 79 2
70 35 17
39 80 20
14 73 4
79 36 17
62 31 14
41 84 8
68 95 19
57 95 6
16 87 15
62 94 20
25 51 1
40 70 17
72 65 14
29 51 9
98 62 10
78 65 12
29 50 14
65 20 16
66 64 12
10 72 17
82 48 4
85 63 17
51 47 5
20 27 12
62 75 11
32 46 16
58 90 2
61 80 3
35 65 2
44 0 13
50 6 10
93 67 8
89 8 19
58 51 9
15 96 19
90 92 2
37 95 9
74 12 4
61 91 11
47 28 3
79 80 14
95 82 20
55 96 13
71 28 10
96 8 2
56 62 9
40 1 8
88 96 12
0 10 4
15 70 3
43 0 20
93 4 14
68 69 20
42 76 5
16 4 16
39 77 4
3 24 11
30 43 20
22 24 1
39 36 2
46 2 3
89 0 13
27 52 17
0 51 3
27 59 14
72 18 19
10 19 20
80 94 11
31 36 20
15 58 2
65 72 4
18 25 18
80 54 13
3 37 12
81 13 5
9 4 6
89 49 16
21 40 16
19 90 19
31 14 11
73 59 8
80 34 7
45 95 13
70 71 11
82 11 14
42 72 10
91 33 6
99 7 13
5 25 17
38 30 11
28 81 15
20 64 16
35 16 11
81 90 19
35 54 17
50 85 5
45 46 1
13 27 8
46 8 6
73 26 18
12 88 4
6 38 12
65 38 4
95 49 10
47 61 16
80 97 19
1 58 7
73 14 3
82 3 14
5 54 6
53 21 14
30 85 9
99 3 8
55 34 5
75 74 12
32 83 1
21 95 12
95 47 20
12 14 6
51 14 5
78 38 19
98 90 8
91 66 4
76 83 17
32 26 19
0 87 17
90 13 10
26 25 6
10 33 1
12 73 2
0 6 1
77 10 2
55 70 14
31 84 13
8 92 15
9 20 10
63 47 6
90 58 8
25 74 14
84 97 20
13 81 4
36 84 7
99 86 9
18 26 14
65 10 17
26 22 16
57 75 2
72 45 9
88 19 7
26 10 15
34 74 8
48 88 14
37 89 13
89 97 5
33 7 17
55 52 3
39 38 6
0 56 16
59 54 3
10 0 14
28 3 4
49 63 18
84 59 17
39 47 12
66 46 10
89 35 12
9 92 19
20 80 14
69 60 1
43 11 3
25 89 18
42 89 3
88 26 20
37 23 7
90 85 16
74 26 19
20 96 3
5 81 19
25 34 12
79 5 4
62 11 16
30 4 19
59 61 20
50 1 6
65 51 8
3 99 17
67 5 17
24 74 14
48 81 5
7 34 8
92 69 9
50 96 5
34 63 20
50 46 18
94 47 4
92 71 5
26 36 8
54 86 9
60 10 14
24 62 17
26 97 2
33 52 18
87 79 20
72 15 17
55 92 12
67 78 19
12 63 4
94 98 3
2 6 18
36 51 16
5 40 12
12 43 8
28 89 20
29 77 1
42 35 12
44 20 4
51 73 12
38 40 12
42 1 19
1 98 5
42 93 20
92 58 7
30 62 4
25 55 8
33 73 2
8 25 3
40 26 1
65 93 19
98 20 20
3 82 15
92 91 1
76 15 6
48 12 15
75 69 2
85 19 19
9 77 5
58 79 19
22 25 2
32 82 16
54 58 19
11 73 8
18 6 4
8 36 6
31 3 5
82 59 8
69 49 19
81 77 10
10 25 10
13 1 14
7 82 6
68 59 15
91 48 9
2 1 11
46 56 14
84 26 20
50 18 11
89 13 5
11 15 15
29 82 1
86 67 15
18 29 11
94 49 17
46 86 12
34 83 17
67 28 10
21 77 12
77 15 19
88 75 4
39 56 1
45 74 7
31 52 4
23 22 9
98 86 20
44 95 19
3 50 10
25 44 6
12 28 5
64 33 5
68 90 4
89 2 11
33 36 2
63 32 15
9 93 9
94 1 12
60 87 3
92 42 2
74 98 9
2 67 19
35 74 1
50 11 4
60 53 6
24 56 6
85 4 2
36 58 3
87 81 4
3 36 17
88 16 6
5 51 8
39 43 1
17 51 18
78 9 2
44 43 4
76 80 8
41 12 19
67 33 3
86 85 8
27 9 10
78 72 11
47 12 18
17 7 7
12 52 16
61 3 13
59 37 19
55 19 11
28 76 14
2 38 14
3 68 15
42 98 4
72 4 4
72 66 8
4 68 18
26 46 1
57 96 19
21 94 3
32 95 6
30 87 6
48 39 5
68 33 5
56 79 5
20 36 13
96 50 16
64 23 9
99 29 19
27 51 3
39 83 12
77 23 8
82 53 16
19 95 2
65 78 7
86 60 6
24 57 14
87 71 19
14 38 17
6 8 4
54 59 14
33 55 19
36 22 2
94 23 1
82 54 12
63 91 15
54 33 1
40 53 8
4 72 1
17 28 16
40 36 9
1 11 4
57 17 14
54 44 14
36 63 13
38 89 10
21 23 15
3 61 8
85 82 17
29 69 9
83 93 17
39 96 18
63 97 17
70 57 19
72 36 9
9 37 2
58 27 8
81 46 6
78 33 13
45 12 14
72 8 4
63 30 14
44 90 2
39 93 10
88 9 16
16 84 19
67 54 12
18 60 8
4 31 1
44 97 7
65 75 19
48 41 10
44 23 15
34 41 19
89 68 7
65 30 7
48 97 7
3 7 8
90 97 20
27 40 11
59 40 3
52 10 7
56 54 19
54 80 6
95 46 15
56 34 8
82 2 3
99 71 5
74 71 13
30 60 13
76 10 10
98 92 14
32 75 5
53 7 16
5 94 4
58 59 1
92 2 1
22 32 7
84 9 14
92 74 11
32 84 6
28 90 2
52 22 19
63 94 19
95 67 8
24 32 9
71 57 19
52 47 4
43 56 2
46 27 3
78 74 1
77 68 11
53 90 10
38 99 12
67 88 12
84 94 6
86 41 3
58 91 10
89 19 8
51 81 1
93 41 10
43 63 6
57 56 14
4 11 9
96 97 2
90 99 1
0 19 3
4 71 16
48 2 2
51 59 20
14 70 3
70 31 5
65 54 19
87 49 16
54 92 9
15 83 15
55 98 8
25 95 3
32 6 3
72 68 13
42 4 11
33 42 14
76 22 3
27 61 4
4 64 7
36 95 2
83 16 6
31 91 13
15 57 3
51 46 17
41 9 9
90 96 15
1 56 15
40 58 18
9 35 6
21 10 6
32 97 6
26 77 18
93 64 3
28 42 18
48 75 19
25 72 8
58 64 10
11 78 14
98 4 13
36 26 20
55 80 13
64 21 13
0 66 16
90 36 10
42 81 11
50 37 3
31 79 13
96 92 14
39 66 1
15 43 4
88 4 20
80 85 13
98 19 15
26 18 2
13 10 19
7 75 1
94 7 10
61 5 4
25 61 6
58 22 15
9 38 1
45 86 10
3 54 1
53 11 14
20 73 8
55 33 19
52 99 13
29 90 13
94 91 13
67 73 14
42 86 14
86 54 1
62 21 13
94 44 19
60 48 10
59 70 12
32 58 16
42 25 5
14 52 11
49 93 19
33 28 7
47 77 18
18 15 5
47 19 10
75 79 16
6 82 8
96 1 12
11 16 13
11 59 19
44 61 18
62 96 12
91 8 3
24 7 10
76 74 20
90 6 7
22 94 8
78 24 5
34 69 19
65 98 14
33 49 7
15 99 15
8 28 2
27 73 12
29 38 1
73 49 14
66 17 18
80 39 19
88 52 15
61 39 4
1 83 18
64 83 19
14 77 9
9 13 16
37 62 17
68 96 8
38 51 4
11 26 4
32 39 15
63 95 10
7 9 4
40 62 6
43 6 20
37 75 11
99 56 16
42 54 5
32 2 9
41 43 15
80 77 1
84 72 15
81 42 1
81 0 5
60 63 20
96 88 2
58 3 16
34 10 20
16 63 4
59 73 20
30 88 9
66 55 7
17 75 18
20 46 2
88 80 12
74 93 14
57 1 12
21 29 5
67 92 6
6 59 8
66 15 17
56 82 8
51 75 1
3 60 4
73 5 2
99 83 5
46 51 12
31 78 1
6 70 7
66 77 9
7 46 11
27 91 6
98 85 1
46 44 15
68 78 15
15 87 18
66 48 2
27 74 14
84 31 18
15 81 11
60 54 10
10 21 19
43 94 7
62 39 17
77 65 6
84 7 20
59 56 3
81 22 4
93 27 16
80 29 19
34 76 7
9 90 12
50 88 3
96 95 19
46 32 20
66 82 2
13 9 20
52 4 17
8 96 17
31 72 20
84 2 11
74 82 14
97 64 18
66 61 11
74 37 8
89 94 12
11 27 9
66 29 16
65 11 6
9 97 15
19 52 17
40 35 19
74 91 7
63 80 9
79 34 13
46 54 12
32 67 8
98 27 10
26 21 2
5 38 13
44 16 3
40 3 19
69 26 17
90 7 10
48 42 8
83 29 6
34 80 15
55 79 16
98 36 19
19 78 3
59 29 17
17 61 18
32 96 16
61 93 18
16 21 19
14 8 1
56 37 12
70 76 13
96 62 8
63 41 5
98 83 2
70 14 17
44 31 3
13 29 7
63 85 3
29 32 15
23 12 8
49 41 13
31 6 9
83 40 10
6 86 17
5 74 15
78 25 8
86 35 17
89 39 17
41 82 16
21 64 20
4 47 5
1 50 8
71 60 9
18 93 1
41 92 15
39 72 16
27 98 8
31 20 19
39 34 5
75 88 17
12 98 16
44 7 5
67 47 20
75 23 2
56 41 16
1 21 19
81 85 3
89 4 14
93 80 7
66 51 3
45 39 2
3 31 5
78 39 14
20 71 14
16 89 14
6 61 16
11 21 5
45 18 16
69 52 6
39 10 17
22 39 12
69 87 2
75 46 9
93 39 5
5 4 20
27 88 2
97 82 17
47 23 11
43 89 12
34 25 1
5 34 15
78 59 4
57 72 17
31 28 19
72 10 4
90 38 8
70 80 12
44 88 15
8 32 9
68 61 13
68 48 13
93 52 18
73 54 20
67 45 4
17 39 4
89 85 20
4 78 16
28 37 13
30 97 20
21 49 13
33 84 18
41 3 5
8 53 3
39 15 19
62 55 6
77 5 12
81 12 8
21 43 9
24 66 1
68 43 11
2 26 13
79 16 1
83 82 7
41 21 3
98 13 1
36 44 7
92 3 9
1 10 3
42 60 9
73 7 16
3 2 10
50 22 20
22 7 2
47 89 7
79 31 18
75 30 19
16 69 7
8 1 10
36 5 5
98 99 4
68 62 12
81 20 16
82 14 17
90 37 12
91 46 19
91 11 6
85 42 15
39 6 3
41 70 9
59 12 10
10 49 4
81 79 6
20 92 14
27 93 12
59 90 15
63 29 19
33 96 18
2 92 11
18 4 2
38 12 15
26 62 1
37 51 11
27 0 19
10 95 10
19 66 9
67 96 13
98 21 14
21 12 5
27 75 6
94 73 12
64 48 8
99 98 1
47 27 17
48 38 10
49 32 19
22 48 8
48 17 2
30 19 8
70 34 7
52 6 12
43 44 13
46 35 9
96 71 4
31 50 20
83 8 8
87 76 5
59 69 12
43 37 1
28 48 6
35 40 8
83 97 12
62 2 9
32 4 7
4 66 17
76 25 5
92 97 8
14 23 1
32 99 2
51 9 18
75 54 15
37 11 6
42 26 8
72 56 12
83 5 12
60 29 14
64 79 2
2 74 2
72 91 18
79 22 9
58 62 4
87 0 3
16 6 9
73 79 15
62 93 16
77 80 5
35 73 18
53 54 16
77 51 11
94 17 7
62 41 3
64 9 12
91 0 8
20 65 6
38 71 12
53 75 17
86 59 17
59 31 2
70 37 10
24 54 1
60 82 13
61 41 15
9 1 17
79 12 9
97 44 11
70 27 15
85 7 20
48 86 18
18 85 18
5 28 2
70 25 5
79 75 5
36 42 5
51 41 18
72 25 20
37 78 2
83 10 7
99 65 11
33 11 1
13 70 1
0 37 6
32 41 16
47 50 4
58 98 2
54 22 3
11 89 13
37 39 12
84 83 9
48 58 11
19 69 13
50 89 2
33 43 11
42 84 2
54 67 12
40 10 1
53 26 4
7 95 14
33 61 13
15 18 12
97 90 12
71 42 11
23 63 9
67 71 7
63 2 6
13 95 14
77 11 14
25 76 1
83 21 9
51 88 14
57 77 1
76 58 1
97 96 3
62 27 7
76 62 3
77 35 17
21 9 6
7 91 5
94 40 20
80 13 16
96 36 8
20 47 13
50 29 14
81 45 2
18 81 16
62 42 8
41 94 7
19 38 19
41 69 7
70 48 13
23 40 18
22 98 19
24 80 10
75 70 2
81 97 9
39 13 13
54 77 19
57 12 2
78 60 4
29 98 1
81 29 3
63 76 14
38 17 6
82 19 13
24 19 5
97 5 1
55 71 17
40 90 2
63 90 13
46 50 1
53 36 9
77 40 4
40 4 2
55 31 15
47 66 17
62 26 3
30 27 16
93 30 18
0 1 3
26 85 16
25 40 8
92 35 13
25 23 13
45 24 8
93 72 6
27 5 9
41 61 9
29 26 7
54 66 10
91 78 4
31 22 3
51 52 6
23 79 4
62 35 6
8 51 16
19 65 11
54 8 9
86 94 2
23 6 12
92 89 7
36 97 7
26 95 16
78 37 6
8 16 17
82 52 13
45 40 1
64 78 10
38 56 14
89 84 12
11 32 9
0 72 20
55 10 15
7 2 2
89 1 9
35 38 10
11 35 2
71 39 3
20 74 5
73 8 14
63 11 3
5 95 1
1 74 8
50 8 16
61 94 20
91 54 3
77 53 7
91 99 16
81 96 17
72 46 16
2 18 19
22 16 6
61 10 12
64 63 10
74 32 9
76 82 12
48 3 12
62 66 10
99 43 10
20 97 10
15 21 8
40 55 14
88 54 8
21 78 14
92 51 19
0 7 5
33 78 13
59 39 9
99 93 5
22 4 18
13 38 9
44 27 13
5 30 11
33 59 20
13 55 14
8 85 18
96 28 8
2 24 18
38 10 19
50 68 12
53 47 3
58 68 8
93 76 6
41 5 6
90 94 20
47 18 17
68 56 3
77 0 5
78 26 11
60 86 16
25 35 3
16 32 4
53 19 8
70 32 8
81 21 20
84 63 17
43 27 7
26 60 15
66 1 17
72 74 11
51 34 7
22 88 16
55 65 19
15 6 16
84 46 9
27 48 4
85 36 13
46 81 6
14 92 16
0 23 7
61 54 7
82 39 20
33 2 17
20 53 15
24 46 7
89 88 1
4 12 2
27 87 16
97 69 12
91 24 3
73 67 20
91 89 2
81 50 4
44 84 11
62 10 19
20 99 19
17 26 17
62 73 3
39 30 13
96 79 19
51 68 11
26 3 9
33 94 1
85 6 12
8 97 20
34 42 10
99 55 16
69 99 16
6 63 12
36 24 11
21 75 19
95 59 18
25 13 9
67 52 19
18 50 19
62 30 6
13 57 5
68 19 14
87 18 3
81 5 2
58 65 3
68 55 7
20 70 1
58 5 10
48 7 16
11 1 18
27 22 12
78 43 20
71 86 7
86 33 20
37 61 7
88 65 15
83 33 4
5 72 13
84 43 18
34 39 9
61 87 20
84 27 3
70 43 19
22 78 8
4 69 14
55 90 14
97 15 10
59 15 2
13 56 12
45 57 11
2 84 17
49 39 4
16 71 19
28 24 2
98 57 1
85 1 18
85 77 3
12 20 20
58 86 18
65 88 1
43 73 16
89 80 11
81 65 5
8 15 16
51 56 5
34 36 10
73 80 11
62 33 8
83 58 16
37 6 17
63 64 5
14 93 9
77 83 9
73 94 3
78 86 14
62 8 3
29 30 9
55 88 1
92 68 20
29 61 12
99 36 9
71 67 9
36 45 13
97 3 10
42 73 9
29 8 4
99 66 15
87 5 5
56 19 20
69 73 12
76 88 19
22 50 14
30 89 12
42 69 9
55 97 5
94 33 3
89 58 19
91 61 2
17 43 3
50 13 12
48 57 2
44 62 12
42 41 7
68 31 10
9 50 7
20 28 13
22 54 2
52 34 11
9 69 15
62 18 2
86 47 16
80 52 17
26 82 2
96 94 3
24 15 1
10 1 20
13 91 17
13 97 18
13 26 4
67 15 8
20 94 12
96 73 12
7 78 7
9 0 18
54 99 4
64 25 15
53 91 3
37 67 8
37 98 6
40 77 20
39 97 3
14 64 3
61 40 4
34 16 6
15 64 7
9 32 13
91 23 2
61 65 8
31 8 2
31 7 14
12 19 19
82 73 13
44 11 19
39 46 4
36 64 14
55 51 10
93 95 13
88 92 12
94 77 4
35 50 6
98 72 4
41 62 4
92 12 20
26 59 1
87 10 5
77 99 17
91 51 19
21 85 6
15 92 18
2 37 2
55 67 9
97 98 19
26 16 19
38 62 15
24 45 18
60 94 8
55 77 9
44 17 10
32 62 3
11 4 5
44 75 1
