500 125000
400 232 1
392 153 5
376 43 18
369 451 1
336 119 17
59 424 12
272 61 2
315 350 16
462 209 9
397 268 5
190 282 15
254 226 10
425 130 5
452 262 2
192 195 14
57 457 14
112 27 5
406 22 2
260 51 1
176 147 15
47 413 1
458 71 20
5 82 1
361 29 20
311 242 2
412 87 5
358 345 14
215 322 11
134 275 16
3 105 20
368 394 20
306 437 6
194 324 12
438 498 11
207 149 3
307 462 10
78 437 20
23 14 5
54 491 10
82 349 16
200 496 2
145 185 11
273 228 12
257 317 19
180 93 8
318 279 19
105 440 14
222 204 9
364 116 16
103 162 12
36 48 3
260 93 8
199 457 11
298 42 20
85 167 14
33 201 1
406 91 16
46 289 3
81 316 14
204 8 19
271 95 17
336 182 9
217 185 11
426 103 14
180 68 10
384 66 11
301 198 5
145 148 13
445 228 15
488 70 7
416 436 9
346 183 4
123 163 15
95 8 16
167 420 11
53 69 4
355 448 8
400 32 19
138 184 12
324 468 2
246 130 14
184 277 4
229 22 11
268 353 12
348 463 3
49 355 20
252 69 2
93 342 2
276 478 9
136 477 4
256 450 18
354 28 19
181 149 5
185 199 1
173 365 17
185 446 4
344 85 4
382 262 14
434 258 9
189 300 13
50 468 8
229 424 17
344 316 12
6 327 3
276 202 18
484 17 16
94 226 16
407 257 17
232 440 15
33 147 13
112 263 4
407 179 11
162 352 20
123 10 15
275 182 17
150 109 20
327 77 14
269 433 10
424 494 4
310 212 20
314 26 15
193 444 4
456 433 11
419 343 3
322 274 18
302 394 2
351 373 11
182 335 6
335 68 20
188 284 10
238 355 3
456 231 12
13 9 5
403 320 3
269 483 17
323 337 18
417 338 17
402 485 2
358 390 16
90 443 13
158 306 6
31 320 14
12 381 7
448 281 19
18 183 6
276 308 6
50 271 4
302 196 10
46 112 4
451 460 3
19 437 17
106 163 5
487 33 8
317 64 4
32 342 12
376 32 7
14 142 13
161 284 15
35 295 10
115 360 20
396 274 12
257 495 5
304 10 7
446 372 11
219 395 6
419 113 3
26 115 13
246 453 3
163 12 2
69 143 2
337 252 6
430 231 13
341 31 15
378 277 5
350 73 15
119 292 8
429 215 13
95 469 6
305 343 18
241 130 15
336 394 5
139 444 9
259 372 8
242 304 9
38 6 14
455 421 8
489 80 20
464 313 2
351 249 19
391 407 19
143 308 17
240 381 18
485 215 3
427 351 6
282 30 2
103 116 3
272 488 17
50 207 1
335 411 19
232 75 6
35 377 19
227 116 20
164 70 14
198 34 14
207 71 10
100 439 6
295 361 5
148 54 15
88 268 15
165 112 18
211 432 4
404 328 15
240 193 15
96 250 6
278 310 12
224 326 5
346 275 2
140 270 8
409 93 9
215 46 13
179 159 12
381 441 18
18 453 12
19 137 11
274 483 12
453 392 3
391 81 17
122 372 17
315 108 8
155 323 1
235 355 11
104 339 7
282 366 14
137 348 5
87 287 10
93 51 19
222 427 18
90 163 13
436 133 12
482 78 16
198 426 16
3 291 12
425 275 11
61 427 6
324 213 16
97 165 20
70 272 8
306 86 15
84 172 2
275 258 19
222 114 9
53 9 14
264 206 15
181 54 14
474 411 14
269 451 2
436 184 20
132 448 17
54 315 15
112 195 19
81 110 7
325 102 4
63 263 4
292 227 18
301 131 19
432 115 9
289 175 7
315 195 18
401 445 6
468 144 10
266 445 20
139 429 3
140 284 17
471 374 7
382 277 9
224 311 20
179 42 10
299 106 5
138 308 2
76 36 2
433 499 4
434 263 5
296 244 11
271 281 1
360 91 3
467 17 5
160 158 12
367 414 12
117 178 16
250 441 4
208 166 9
175 113 16
51 441 13
495 176 6
83 88 18
183 272 3
229 232 12
333 147 15
411 223 15
297 228 2
44 48 8
16 216 4
315 145 5
262 453 1
125 104 2
131 105 16
354 6 17
40 85 11
122 421 18
217 28 7
182 40 18
266 333 20
329 460 13
203 457 16
473 330 1
314 489 14
491 442 10
271 26 19
66 429 15
109 73 16
357 370 20
171 98 15
496 145 13
227 291 20
77 19 7
185 94 11
336 457 16
102 494 19
437 419 16
213 7 16
174 182 15
286 164 15
382 169 12
245 53 13
288 360 20
75 461 15
276 228 1
64 386 18
313 96 8
52 476 5
439 250 8
43 283 13
4 478 14
382 266 11
6 256 18
129 433 18
434 413 8
44 466 2
378 278 7
36 352 1
203 418 6
339 379 13
189 124 16
125 77 12
470 24 10
281 352 6
370 431 9
448 405 8
425 32 16
299 298 14
469 347 2
187 289 6
239 53 1
421 227 4
245 20 4
404 460 18
76 410 2
432 154 20
97 274 9
147 30 15
59 80 19
430 215 4
63 244 15
20 433 6
27 127 5
167 336 14
237 493 12
337 176 2
307 8 20
437 22 13
135 174 9
44 365 8
167 260 4
342 347 17
332 45 11
374 460 13
66 172 11
398 42 13
190 52 3
55 353 4
67 171 5
71 406 2
408 453 6
350 139 10
99 152 3
420 206 11
104 487 7
234 497 18
252 154 12
399 437 5
294 231 19
138 175 6
436 368 9
242 428 17
251 74 10
81 176 2
53 32 16
341 405 10
1 155 17
135 327 13
411 193 18
460 127 7
341 165 3
270 318 5
391 253 6
122 109 19
163 296 8
34 273 6
313 495 2
455 317 12
52 324 20
488 191 10
24 258 10
161 88 7
33 237 19
430 364 11
401 123 10
1 319 7
60 491 11
221 310 7
400 237 12
268 354 8
422 437 12
449 374 18
213 131 5
328 460 16
120 105 5
167 274 7
106 221 10
399 98 19
232 277 11
276 109 11
395 452 7
204 328 5
77 438 19
159 272 10
419 360 16
347 406 20
73 89 3
186 18 11
23 73 19
153 225 9
481 243 14
113 13 12
186 323 2
17 436 6
128 11 9
47 381 15
431 364 10
260 179 10
135 118 10
233 222 5
406 374 11
363 398 17
22 477 10
106 453 11
433 294 14
459 305 14
374 385 15
401 285 6
490 379 6
234 250 12
10 216 15
468 218 16
233 357 2
135 308 13
185 12 14
113 64 12
357 453 9
239 84 13
208 46 1
70 427 10
101 271 15
336 348 19
406 390 8
295 329 19
26 201 10
133 176 2
222 368 7
325 204 12
398 188 5
232 223 10
411 60 18
248 173 16
356 61 9
83 489 16
88 363 12
452 418 10
102 22 19
300 236 4
344 472 8
335 16 1
320 480 20
219 322 9
382 65 15
315 393 10
205 432 3
496 140 17
277 13 20
6 443 12
160 485 5
363 312 17
436 274 7
418 173 13
424 443 7
289 493 7
397 216 5
41 78 8
323 18 10
186 293 19
6 20 6
244 248 15
473 293 8
268 52 19
89 420 4
189 208 17
171 423 17
318 277 12
131 197 7
41 492 17
374 117 17
7 365 13
322 120 19
383 244 20
235 16 10
293 227 5
119 280 8
43 318 6
91 129 15
23 422 9
20 475 13
431 31 19
278 264 4
0 366 15
78 97 3
484 83 2
87 438 2
199 106 17
109 3 20
463 133 19
84 389 15
358 45 4
267 132 5
452 199 7
294 123 17
27 291 4
3 266 7
190 416 8
421 482 8
206 370 10
290 67 15
184 260 5
36 476 12
157 367 6
383 190 9
18 84 2
476 52 10
266 197 19
70 448 18
362 196 14
464 422 5
367 58 15
31 385 15
116 313 12
56 221 18
145 445 17
222 356 19
244 199 5
59 389 8
489 334 13
378 5 14
155 47 13
424 470 12
166 419 3
219 303 4
156 238 10
394 170 16
450 60 6
227 97 10
359 325 13
324 268 7
354 189 15
76 78 15
206 77 11
67 118 14
281 423 16
298 338 3
134 401 3
19 108 7
286 193 13
140 355 20
348 306 11
486 410 19
150 185 9
178 115 5
126 409 2
452 410 13
399 389 2
196 47 13
86 316 18
468 45 19
77 234 9
429 119 4
455 32 11
477 170 6
327 363 20
159 468 18
479 444 7
397 170 20
320 175 6
92 282 16
43 111 10
32 318 11
307 235 13
152 90 5
203 161 1
481 363 18
441 200 3
328 9 20
5 298 1
42 30 12
325 378 13
71 163 4
249 423 12
471 277 20
178 457 18
235 128 2
369 314 4
456 499 20
225 69 19
493 213 20
144 414 1
99 151 17
247 405 17
331 328 6
211 69 10
480 129 20
432 206 17
227 149 3
435 402 6
171 376 19
183 58 9
211 291 16
67 154 16
492 212 5
432 218 4
112 143 3
413 185 2
436 128 10
39 356 17
91 395 14
481 54 12
401 207 12
450 229 9
387 348 5
75 158 16
77 132 6
156 278 6
480 48 12
9 31 13
97 472 9
351 446 9
210 245 4
396 273 10
384 9 14
233 182 7
216 159 19
269 327 12
478 262 9
222 18 20
216 73 12
100 37 14
369 275 17
203 419 19
302 259 7
200 151 6
439 481 17
206 145 12
499 351 17
289 286 12
0 465 15
340 102 4
305 206 15
53 456 8
126 181 3
439 365 16
69 497 19
208 471 1
95 379 8
136 71 7
61 337 19
438 269 7
425 138 3
59 402 18
9 183 7
403 145 16
331 75 12
119 29 15
251 166 6
249 316 11
427 248 6
192 224 11
62 235 8
107 21 8
457 426 19
277 196 16
267 414 9
223 162 10
462 157 15
204 125 1
342 325 4
440 279 18
355 62 8
5 213 17
404 494 19
374 84 12
200 119 13
238 339 17
107 88 20
110 481 4
301 97 17
191 35 17
224 449 7
176 432 7
144 182 2
46 57 3
164 331 2
337 75 20
276 231 6
472 318 7
77 406 12
4 486 16
375 491 1
490 436 15
498 202 20
370 419 20
431 412 14
206 426 12
270 43 6
431 480 19
3 393 5
402 63 2
266 321 19
184 422 9
265 361 13
406 419 20
131 259 4
436 190 13
172 444 3
15 21 12
294 244 1
187 341 2
371 192 19
74 189 3
208 285 2
498 341 18
273 73 15
498 335 9
410 221 13
257 125 13
219 143 16
386 317 5
424 407 10
117 179 19
300 192 13
73 412 7
180 283 9
381 173 8
22 346 14
171 380 15
185 489 9
165 483 13
331 374 19
346 306 9
389 211 7
383 146 20
67 101 20
203 485 2
479 301 18
275 413 2
44 99 17
433 293 14
375 359 6
235 141 15
360 97 19
19 346 6
196 110 19
284 341 19
209 169 3
294 464 15
148 146 2
77 72 13
63 315 11
189 102 11
437 366 13
199 269 3
15 37 16
478 239 13
197 142 12
153 379 13
108 30 6
478 217 15
308 59 15
243 1 3
242 341 6
147 499 14
240 443 20
466 319 9
258 233 19
421 202 15
186 409 5
157 316 18
113 203 10
67 174 16
172 292 19
89 258 9
307 193 15
174 21 5
300 152 8
88 150 15
393 48 8
15 452 11
461 93 8
260 428 10
75 324 7
241 319 6
331 104 3
275 88 1
355 195 2
122 395 17
380 274 2
200 139 14
283 300 1
296 199 16
470 246 6
331 459 19
229 221 19
133 177 3
187 67 6
498 398 7
407 328 10
96 67 19
484 126 15
295 48 6
5 350 17
94 19 7
255 130 6
385 472 16
434 320 4
87 299 17
105 148 4
300 133 1
131 150 8
359 119 7
376 485 15
450 252 9
152 158 3
64 204 9
343 43 2
442 416 4
371 229 18
148 203 19
70 132 1
124 141 8
94 465 11
19 464 2
40 54 11
385 349 11
186 302 3
113 261 7
198 20 20
251 369 18
470 417 11
144 239 13
126 345 9
75 114 4
33 498 11
65 176 3
433 483 17
236 439 16
61 140 3
412 383 10
405 488 20
496 252 4
54 219 16
44 236 19
99 17 18
345 344 7
13 217 6
457 430 3
48 76 18
151 2 16
40 261 3
274 470 6
87 230 4
67 42 12
320 167 18
303 446 10
95 441 13
183 448 13
52 154 12
303 482 9
56 124 20
311 12 13
408 233 7
204 296 19
140 69 1
341 113 15
103 415 8
10 162 5
177 209 3
424 277 10
396 22 15
396 291 18
103 474 17
205 72 10
482 71 12
154 285 8
397 196 4
2 369 6
327 173 18
491 414 19
167 134 2
19 480 8
31 184 20
367 144 20
296 122 18
290 443 11
128 413 7
210 195 12
430 98 13
240 497 1
242 456 3
364 3 14
70 338 7
285 490 1
82 410 2
402 250 17
91 428 19
403 6 10
40 164 9
253 36 10
78 367 3
208 463 3
448 373 2
15 346 15
53 227 1
300 376 6
336 164 7
307 445 16
486 96 14
402 237 12
44 137 15
271 327 9
349 137 14
289 421 4
239 463 16
343 342 19
36 190 15
432 48 13
68 447 10
79 112 7
436 150 19
193 271 10
457 183 10
212 167 4
489 172 11
315 452 13
68 259 8
393 187 11
152 179 14
466 129 4
232 210 4
53 185 6
113 17 5
140 225 5
364 387 18
387 39 8
482 128 12
419 74 1
311 390 12
322 393 15
148 141 8
55 249 15
172 59 7
203 401 11
152 178 10
495 69 10
452 174 5
12 493 13
137 0 18
346 3 3
156 482 2
107 422 18
84 138 11
20 424 2
495 433 14
221 177 19
284 479 18
476 106 19
461 154 9
89 210 18
253 198 16
319 9 13
401 449 7
50 222 12
204 103 11
193 81 19
26 90 19
110 261 1
158 253 14
334 463 16
345 167 20
248 90 5
437 82 7
167 456 8
335 144 17
482 41 15
183 334 19
173 94 12
341 163 10
364 125 18
159 244 4
60 107 12
493 383 10
329 11 19
238 177 12
222 203 4
30 280 18
27 468 7
108 353 19
499 62 20
192 59 11
157 259 1
205 9 3
229 198 14
41 201 15
458 140 4
224 423 15
132 178 9
320 72 5
216 443 17
33 72 19
469 411 9
252 393 9
263 160 19
2 436 9
432 24 16
382 244 17
48 124 20
175 125 11
427 301 6
73 132 6
459 488 19
153 114 5
272 495 9
87 445 1
61 107 13
328 86 20
76 217 19
368 152 6
59 197 18
374 49 1
434 114 9
365 449 18
393 27 19
195 55 15
31 318 14
18 258 6
326 272 14
318 338 16
171 312 19
387 316 13
169 407 20
371 22 5
37 446 3
468 190 8
82 408 5
192 1 20
377 458 2
395 27 2
329 477 10
476 222 7
48 353 14
229 240 8
264 401 17
20 94 2
138 271 17
27 407 16
143 164 20
276 336 16
492 409 11
343 38 3
421 443 2
223 265 11
449 29 2
287 152 7
389 394 3
311 417 15
331 131 18
11 88 16
220 212 9
415 103 10
154 164 3
478 242 20
280 354 1
236 338 17
239 55 1
219 147 20
287 479 8
402 235 10
103 310 5
1 77 1
311 35 1
356 60 5
0 329 4
478 42 12
296 258 2
443 30 1
431 392 1
282 416 1
252 26 10
333 119 10
460 4 2
154 31 1
427 218 8
145 289 5
182 252 16
292 262 13
161 300 2
194 69 1
445 382 15
163 301 12
189 299 18
89 431 20
304 324 10
142 434 8
47 219 3
167 208 15
403 469 12
119 145 12
100 377 12
485 96 16
370 29 7
361 382 17
481 497 7
298 363 15
98 209 14
96 212 18
469 30 6
110 28 9
148 329 8
471 429 9
441 151 3
441 84 15
187 44 14
340 186 3
465 159 14
51 137 17
458 351 7
377 136 4
251 300 12
206 250 17
362 457 2
152 78 7
362 479 8
283 38 3
114 131 7
361 309 20
335 90 18
445 44 6
472 271 18
138 110 3
158 416 19
119 266 12
129 210 1
89 212 17
312 44 12
489 397 6
351 459 15
235 169 3
150 20 16
96 98 20
57 409 2
76 400 15
237 332 1
193 498 11
394 53 15
40 236 11
203 410 16
117 207 3
496 470 4
432 298 2
5 6 10
140 190 4
234 72 16
299 405 19
499 381 20
8 131 15
10 109 7
195 273 13
249 326 19
435 270 17
117 98 18
151 170 7
272 415 17
383 171 15
439 70 4
406 123 1
4 364 10
77 180 2
331 462 3
443 165 14
327 42 13
276 484 18
457 466 7
163 191 18
49 307 12
234 492 14
461 308 4
69 42 10
481 379 4
6 5 6
33 398 1
158 283 18
131 333 3
81 360 15
187 196 20
135 264 1
66 126 17
417 174 10
66 499 4
173 411 9
338 381 6
254 58 4
63 248 1
434 390 5
227 297 11
126 120 3
85 182 1
140 477 7
24 9 9
30 440 14
463 51 10
167 378 17
414 236 4
226 220 20
173 213 16
314 289 8
260 358 4
71 298 20
282 0 4
257 410 17
142 66 8
183 223 14
98 406 2
175 97 1
268 49 1
30 100 13
87 495 2
281 230 11
12 297 8
55 452 3
22 61 14
486 276 3
382 274 17
148 238 13
327 448 17
23 446 15
299 21 1
447 284 1
17 459 16
93 174 20
315 188 11
108 162 16
274 380 17
89 192 1
176 185 10
116 402 19
316 127 12
495 499 8
474 36 1
342 85 11
31 291 10
314 295 9
370 8 19
375 431 13
494 125 17
23 286 6
215 103 2
344 21 11
480 380 17
266 122 7
78 227 10
342 81 10
78 434 3
92 47 10
217 451 2
27 169 4
274 285 19
365 321 6
466 27 11
355 172 11
308 20 11
455 91 19
225 315 3
261 289 6
53 410 9
314 178 1
432 479 7
282 179 15
26 121 8
71 5 1
131 436 15
181 18 7
357 247 13
47 60 13
375 77 2
248 420 3
189 447 6
239 216 3
249 99 18
362 452 9
464 177 9
148 34 17
4 101 9
64 218 3
160 191 3
376 1 7
194 378 14
263 491 15
112 40 19
103 191 16
323 124 12
381 313 19
223 163 17
311 257 14
177 39 12
111 30 20
489 186 18
454 22 19
181 218 9
114 35 17
281 39 11
30 3 20
384 31 5
363 213 10
368 25 10
130 149 12
157 141 13
376 11 18
112 320 18
498 4 18
59 257 1
294 175 14
165 69 16
142 88 14
33 306 10
98 64 6
319 381 10
109 210 14
327 248 20
96 400 11
94 242 17
331 86 6
356 222 7
308 413 13
153 460 3
25 410 11
237 138 20
165 248 12
210 20 5
443 6 10
264 25 9
5 29 20
244 185 19
450 4 15
217 199 15
380 424 18
314 12 8
202 143 1
154 247 2
259 269 19
199 433 10
84 236 13
95 263 13
215 60 1
198 121 7
51 423 16
338 445 3
499 272 14
246 164 10
214 378 7
372 412 15
198 369 20
179 380 11
116 119 12
293 278 14
280 490 18
405 371 12
55 472 17
51 465 17
474 486 8
357 86 11
318 421 12
156 180 12
0 36 17
477 4 17
451 208 2
358 215 3
218 322 9
403 219 11
486 406 10
224 308 20
64 378 9
397 106 1
209 313 19
393 392 5
118 58 6
264 301 14
211 16 12
153 29 12
267 439 15
300 334 12
455 364 10
73 44 1
194 195 17
135 463 4
246 170 3
82 290 4
475 9 3
484 84 9
315 0 12
340 106 9
328 436 8
435 310 2
72 483 16
266 70 4
454 187 8
163 287 19
300 52 1
71 95 2
400 168 15
166 176 5
300 431 8
328 364 4
479 379 6
195 116 7
324 234 1
361 219 12
220 60 10
224 145 19
139 97 6
334 495 16
17 125 19
488 298 8
94 250 11
165 345 3
337 444 15
404 391 14
173 234 10
281 30 8
253 7 6
37 449 8
182 314 15
162 82 18
111 187 10
409 268 3
83 292 10
24 275 17
300 370 6
110 224 20
481 116 7
386 281 16
426 134 11
124 82 1
233 31 7
306 92 11
141 411 3
285 459 3
62 439 8
274 302 10
398 407 13
207 117 15
458 281 1
213 456 14
377 143 15
399 488 2
197 11 15
449 27 5
13 256 6
52 107 8
218 148 7
468 255 6
182 379 18
305 424 6
417 176 13
205 298 5
119 286 11
426 369 7
117 391 12
424 93 19
405 476 2
424 176 7
46 89 9
216 89 14
476 448 14
234 357 8
443 112 14
206 477 7
463 440 18
309 142 15
464 91 6
169 341 13
232 234 8
63 141 15
499 227 7
110 417 17
88 238 16
110 319 2
436 215 8
270 39 1
9 188 11
381 137 16
435 28 11
181 109 13
380 340 20
200 73 12
58 163 14
416 178 20
334 357 3
209 107 9
74 367 2
438 455 17
89 172 10
435 212 17
234 185 15
71 448 2
230 99 7
328 57 17
124 277 3
466 25 5
403 457 2
48 244 10
246 190 2
218 429 15
473 453 7
495 341 12
431 204 20
94 360 19
397 171 2
124 70 10
39 289 12
229 345 7
171 264 7
11 24 13
345 257 4
86 65 17
109 435 8
92 232 7
221 180 10
300 327 15
82 61 16
205 337 16
128 266 2
0 499 16
202 185 16
482 492 4
189 167 18
258 443 3
261 325 6
444 198 13
419 73 20
496 438 20
67 134 12
390 26 4
14 342 20
418 61 5
379 402 9
331 276 3
275 350 7
244 168 17
195 496 5
401 479 10
125 211 8
206 256 5
345 250 2
162 296 8
308 31 3
355 213 19
362 164 1
336 496 2
221 216 2
187 223 19
344 213 19
69 164 8
121 289 11
281 244 7
236 202 20
10 336 11
78 270 4
481 435 18
387 65 5
39 50 9
49 394 5
84 4 9
468 409 18
136 13 4
247 273 12
413 419 1
146 397 6
390 136 2
464 355 11
201 252 1
288 485 20
474 464 4
116 83 4
35 245 11
176 362 3
119 359 16
249 252 7
395 173 1
65 62 10
269 326 17
147 327 3
392 24 2
235 260 14
272 390 15
393 135 20
133 413 11
416 328 12
368 197 7
299 347 3
58 396 4
353 275 8
254 313 4
193 278 17
10 193 18
451 257 18
57 85 11
279 373 11
401 89 4
96 113 13
202 82 6
227 71 17
47 123 3
127 403 7
259 343 2
124 12 19
384 198 12
114 226 19
66 458 4
179 441 11
157 390 17
206 10 9
356 381 16
190 263 13
405 164 16
171 415 20
216 54 12
139 56 2
225 53 6
19 103 9
143 233 11
300 413 11
261 123 16
365 96 19
55 93 19
231 134 5
131 137 7
300 480 17
17 441 4
352 18 15
112 411 20
88 443 5
194 315 19
304 113 13
0 475 10
437 452 3
402 74 20
326 266 7
85 236 9
129 214 2
141 165 4
425 350 2
157 43 6
482 34 13
337 185 5
363 217 13
108 396 18
217 257 19
499 328 12
95 126 2
488 443 3
458 181 14
127 6 1
237 4 5
158 89 18
493 443 18
12 479 3
286 219 13
276 112 16
98 74 9
443 349 3
200 332 17
472 11 3
41 445 2
95 55 2
23 495 10
485 106 18
102 311 7
12 237 19
48 417 3
270 426 20
424 165 18
381 177 18
301 478 2
155 90 1
347 61 11
445 66 6
433 361 7
438 281 3
84 283 15
327 441 14
320 217 8
98 365 7
433 425 20
286 284 12
297 154 12
322 299 9
107 9 12
421 373 6
351 169 17
138 96 16
231 367 12
304 448 14
202 205 8
79 84 12
303 116 20
356 140 5
245 110 9
290 155 20
32 6 11
66 285 18
333 271 9
381 38 9
24 71 14
39 280 17
419 176 5
247 217 8
248 270 12
483 417 19
498 459 6
247 283 10
340 460 13
123 423 15
158 398 15
433 337 9
222 451 5
451 11 1
253 56 20
393 441 8
184 203 11
413 450 11
289 240 1
476 334 2
25 171 2
443 212 19
428 466 7
193 326 19
494 274 8
373 127 2
144 317 15
139 54 6
27 309 1
69 488 11
92 172 16
166 6 17
254 57 4
245 242 10
68 365 6
346 472 6
3 469 13
390 336 13
325 93 13
216 84 19
397 333 12
267 413 7
84 52 18
170 132 7
398 174 17
150 174 4
482 215 17
61 236 19
486 361 15
235 339 19
156 197 3
246 71 11
121 272 5
352 306 17
215 29 3
480 391 3
241 212 6
162 320 2
15 363 20
71 43 6
459 397 16
207 270 18
